Experiment = FLArE10 | seed 2 | Neutrino = 12 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 700 cm | Total Events = 44732.7 |        del_theta = 15.00 mrad, theta_max = 500.0 mrad |        del_Elepton = 5.0 % , Elepton_min = 2.00 GeV, Elepton_max = 2000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 2.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.610262e-02    2.212216e-02    1.919166e-02   1.000000e+01         1.000000e+02         2.623065e+01        1.133635e+01         5.698000e+03         1.208928e+03        6.324114e-01                                           4.751171e+02    2.179718e+01                       1.89602             0.0416971                 0.0061164                0.02553                  3.512530e+05 
1.610262e-02    2.212216e-02    1.984811e-02   1.000000e+02         1.000000e+03         1.194318e+02        1.133635e+01         5.698000e+03         3.788098e+03        6.123457e-01                                           4.014521e+00    2.003627e+00                       1.55938             0.0965986                 0.0268707                0.471429                 2.662200e+04 
2.212216e-02    3.039195e-02    2.612241e-02   4.000000e+00         1.000000e+01         6.825741e+00        1.133635e+01         5.698000e+03         5.565023e+02        4.543009e-01                                           2.568845e+02    1.602762e+01                       18.6684             0.0658508                 0.0249006                0.0498425                3.513540e+05 
2.212216e-02    3.039195e-02    2.633067e-02   1.000000e+01         1.000000e+02         3.015006e+01        1.133635e+01         5.698000e+03         1.074341e+03        4.542697e-01                                           7.562310e+02    2.749965e+01                       77.4055             0.0694755                 0.00167723               0.0375071                3.516510e+05 
2.212216e-02    3.039195e-02    2.698184e-02   1.000000e+02         1.000000e+03         1.283771e+02        1.133635e+01         5.698000e+03         3.072174e+03        4.324822e-01                                           2.004436e+01    4.477093e+00                       2.72193             0.117614                  0.00582386               0.271236                 5.116600e+04 
3.039195e-02    4.175319e-02    3.592942e-02   4.000000e+00         1.000000e+01         6.894291e+00        1.133635e+01         5.698000e+03         4.975354e+02        3.259503e-01                                           2.885241e+02    1.698600e+01                       52.9181             0.186895                  0.0199101                0.0294754                3.514440e+05 
3.039195e-02    4.175319e-02    3.615789e-02   1.000000e+01         1.000000e+02         3.429551e+01        1.133635e+01         5.698000e+03         9.586872e+02        3.227374e-01                                           1.102890e+03    3.320979e+01                       192.132             0.140472                  0.00126706               0.0393419                3.513400e+05 
3.039195e-02    4.175319e-02    3.690815e-02   1.000000e+02         1.000000e+03         1.369975e+02        1.133635e+01         5.698000e+03         2.493116e+03        2.994677e-01                                           7.109581e+01    8.431833e+00                       1.25751             0.145947                  0.00675157               0.162361                 8.485300e+04 
4.175319e-02    5.736153e-02    4.927489e-02   4.000000e+00         1.000000e+01         6.920909e+00        1.133635e+01         5.698000e+03         4.653882e+02        2.314499e-01                                           3.110031e+02    1.763528e+01                       84.5047             0.291174                  0.0154142                0.00621264               3.511470e+05 
4.175319e-02    5.736153e-02    4.957008e-02   1.000000e+01         1.000000e+02         3.784009e+01        1.133635e+01         5.698000e+03         8.432991e+02        2.255627e-01                                           1.520720e+03    3.899641e+01                       347.027             0.198099                  0.00350898               0.03543                  3.512170e+05 
4.175319e-02    5.736153e-02    5.040003e-02   1.000000e+02         1.000000e+03         1.487269e+02        1.133635e+01         5.698000e+03         2.068678e+03        2.051773e-01                                           2.040392e+02    1.428423e+01                       27.4435             0.181298                  0.00336943               0.0680682                1.316910e+05 
5.736153e-02    7.880463e-02    6.753857e-02   4.000000e+00         1.000000e+01         6.926700e+00        1.133635e+01         5.698000e+03         4.309082e+02        1.630581e-01                                           3.263718e+02    1.806576e+01                       120.184             0.389129                  0.0197583                0.010393                 3.512350e+05 
5.736153e-02    7.880463e-02    6.790245e-02   1.000000e+01         1.000000e+02         4.100945e+01        1.133635e+01         5.698000e+03         7.452279e+02        1.558270e-01                                           1.979458e+03    4.449110e+01                       553.321             0.254844                  0.00298464               0.0318602                3.514800e+05 
5.736153e-02    7.880463e-02    6.890070e-02   1.000000e+02         1.000000e+03         1.635532e+02        1.133635e+01         5.698000e+03         1.750650e+03        1.387466e-01                                           4.896689e+02    2.212846e+01                       100.055             0.21455                   0.00284333               0.02199                  1.951700e+05 
7.880463e-02    1.082637e-01    9.273710e-02   4.000000e+00         1.000000e+01         6.961443e+00        1.133635e+01         5.698000e+03         4.179114e+02        1.191180e-01                                           3.360295e+02    1.833111e+01                       154.59              0.483187                  0.0234284                0.0057505                3.513650e+05 
7.880463e-02    1.082637e-01    9.307694e-02   1.000000e+01         1.000000e+02         4.361490e+01        1.133635e+01         5.698000e+03         6.580415e+02        1.126747e-01                                           2.421939e+03    4.921319e+01                       784.197             0.304598                  0.00415483               0.0265243                3.515170e+05 
7.880463e-02    1.082637e-01    9.417450e-02   1.000000e+02         1.000000e+03         1.843058e+02        1.133635e+01         5.698000e+03         1.512971e+03        9.776218e-02                                           9.837998e+02    3.136558e+01                       262.789             0.253597                  0.00163915               0.00837546               2.807600e+05 
7.880463e-02    1.082637e-01    1.043585e-01   1.000000e+03         1.000000e+04         1.028917e+03        1.133635e+01         5.698000e+03         5.388407e+03        6.533862e-02                                           1.552616e-02    1.246040e-01                       0.0124209           0.766667                  0.666667                 0.433333                 1.910000e+02 
1.082637e-01    1.487352e-01    1.272264e-01   4.000000e+00         1.000000e+01         6.960134e+00        1.133635e+01         5.698000e+03         4.034250e+02        8.466103e-02                                           3.327476e+02    1.824137e+01                       178.786             0.567245                  0.020386                 0.0035459                3.509250e+05 
1.082637e-01    1.487352e-01    1.277390e-01   1.000000e+01         1.000000e+02         4.589256e+01        1.133635e+01         5.698000e+03         5.868435e+02        7.857549e-02                                           2.830035e+03    5.319808e+01                       1042.23             0.357067                  0.0027358                0.0298703                3.506760e+05 
1.082637e-01    1.487352e-01    1.290601e-01   1.000000e+02         1.000000e+03         2.092360e+02        1.133635e+01         5.698000e+03         1.320702e+03        6.708508e-02                                           1.736485e+03    4.167116e+01                       536.696             0.287711                  0.00295349               0.0274797                3.432030e+05 
1.082637e-01    1.487352e-01    1.366421e-01   1.000000e+03         1.000000e+04         1.115624e+03        1.133635e+01         5.698000e+03         4.813254e+03        4.626508e-02                                           1.285305e+00    1.133713e+00                       0.600213            0.383962                  0.0707547                0.948113                 5.870000e+03 
1.487352e-01    2.043360e-01    1.749659e-01   4.000000e+00         1.000000e+01         6.979231e+00        1.133635e+01         5.698000e+03         4.013087e+02        5.771170e-02                                           3.209894e+02    1.791618e+01                       198.101             0.643088                  0.0263679                0.00623092               3.515010e+05 
1.487352e-01    2.043360e-01    1.753736e-01   1.000000e+01         1.000000e+02         4.786620e+01        1.133635e+01         5.698000e+03         5.279340e+02        5.224114e-02                                           3.050524e+03    5.523155e+01                       1220.33             0.395058                  0.0031805                0.0269911                3.517310e+05 
1.487352e-01    2.043360e-01    1.770557e-01   1.000000e+02         1.000000e+03         2.407906e+02        1.133635e+01         5.698000e+03         1.169856e+03        4.371095e-02                                           2.742912e+03    5.237282e+01                       924.795             0.312093                  0.00546406               0.0393831                3.509300e+05 
1.487352e-01    2.043360e-01    1.837005e-01   1.000000e+03         1.000000e+04         1.173730e+03        1.133635e+01         5.698000e+03         3.951091e+03        3.059319e-02                                           1.156481e+01    3.400707e+00                       2.19275             0.250418                  0.0112306                0.646714                 2.168700e+04 
2.043360e-01    2.807216e-01    2.399736e-01   4.000000e+00         1.000000e+01         6.981793e+00        1.133635e+01         5.698000e+03         3.874204e+02        3.688984e-02                                           2.869374e+02    1.693923e+01                       193.354             0.70552                   0.0267141                0.00692997               3.512470e+05 
2.043360e-01    2.807216e-01    2.402821e-01   1.000000e+01         1.000000e+02         4.939502e+01        1.133635e+01         5.698000e+03         4.833952e+02        3.222672e-02                                           2.951103e+03    5.432406e+01                       1230.08             0.419091                  0.00320843               0.0175378                3.511750e+05 
2.043360e-01    2.807216e-01    2.422638e-01   1.000000e+02         1.000000e+03         2.756635e+02        1.133635e+01         5.698000e+03         1.037247e+03        2.621072e-02                                           3.702460e+03    6.084784e+01                       1264.39             0.3109                    0.00455431               0.048672                 3.525450e+05 
2.043360e-01    2.807216e-01    2.489756e-01   1.000000e+03         1.000000e+04         1.243986e+03        1.133635e+01         5.698000e+03         3.203076e+03        1.810868e-02                                           5.232481e+01    7.233589e+00                       0.421502            0.264657                  0.00826887               0.354681                 4.430000e+04 
2.807216e-01    3.856620e-01    3.283110e-01   4.000000e+00         1.000000e+01         6.948853e+00        1.133635e+01         5.698000e+03         3.850068e+02        2.104918e-02                                           2.323793e+02    1.524399e+01                       167.791             0.755843                  0.0389382                0.00598876               3.515490e+05 
2.807216e-01    3.856620e-01    3.281448e-01   1.000000e+01         1.000000e+02         5.044675e+01        1.133635e+01         5.698000e+03         4.476606e+02        1.712813e-02                                           2.431413e+03    4.930936e+01                       987.249             0.420414                  0.00693411               0.00329952               3.512630e+05 
2.807216e-01    3.856620e-01    3.305338e-01   1.000000e+02         1.000000e+03         3.093625e+02        1.133635e+01         5.698000e+03         9.167054e+02        1.336410e-02                                           4.000198e+03    6.324712e+01                       1203.14             0.265223                  0.00612238               0.0576032                3.508460e+05 
2.807216e-01    3.856620e-01    3.375703e-01   1.000000e+03         1.000000e+04         1.320096e+03        1.133635e+01         5.698000e+03         2.593981e+03        8.965388e-03                                           1.433358e+02    1.197229e+01                       2.74291             0.167002                  0.00460742               0.172843                 7.559900e+04 
3.856620e-01    5.298317e-01    4.452509e-01   4.000000e+00         1.000000e+01         6.929882e+00        1.133635e+01         5.698000e+03         3.840012e+02        1.048750e-02                                           1.506000e+02    1.227192e+01                       109.24              0.774446                  0.0448331                0.0515532                3.502930e+05 
3.856620e-01    5.298317e-01    4.437975e-01   1.000000e+01         1.000000e+02         5.080682e+01        1.133635e+01         5.698000e+03         4.261059e+02        7.861269e-03                                           1.528113e+03    3.909108e+01                       445.266             0.329519                  0.0193932                0.054085                 3.503870e+05 
3.856620e-01    5.298317e-01    4.454732e-01   1.000000e+02         1.000000e+03         3.400300e+02        1.133635e+01         5.698000e+03         8.147981e+02        5.700971e-03                                           3.088860e+03    5.557751e+01                       378.081             0.0785782                 0.0106812                0.0558904                3.519610e+05 
3.856620e-01    5.298317e-01    4.528902e-01   1.000000e+03         1.000000e+04         1.394124e+03        1.133635e+01         5.698000e+03         2.135216e+03        3.454285e-03                                           2.240935e+02    1.496975e+01                       46.0656             0.133398                  0.00516577               0.01055                  1.186330e+05 
5.298317e-01    7.278954e-01    5.918411e-01   4.000000e+00         1.000000e+01         7.258806e+00        1.133635e+01         5.698000e+03         3.848842e+02        3.528100e-03                                           5.117080e+01    7.153377e+00                       31.2364             0.71991                   0.0759649                0.272531                 2.608180e+05 
5.298317e-01    7.278954e-01    5.989878e-01   1.000000e+01         1.000000e+02         5.032740e+01        1.133635e+01         5.698000e+03         4.083719e+02        1.988247e-03                                           5.246192e+02    2.290457e+01                       191.373             0.2262                    0.00316115               0.432321                 3.512790e+05 
5.298317e-01    7.278954e-01    5.989974e-01   1.000000e+02         1.000000e+03         3.615947e+02        1.133635e+01         5.698000e+03         7.227157e+02        1.276556e-03                                           1.166535e+03    3.415457e+01                       953.41              0.876876                  0.0101383                0.0907685                3.508140e+05 
5.298317e-01    7.278954e-01    6.048713e-01   1.000000e+03         1.000000e+04         1.481290e+03        1.133635e+01         5.698000e+03         1.776343e+03        7.370228e-04                                           1.450137e+02    1.204216e+01                       215.127             1.51398                   0.0137995                0.0939117                1.766300e+05 
7.278954e-01    1.000000e+00    7.384870e-01   4.000000e+00         1.000000e+01         9.364567e+00        1.133635e+01         5.698000e+03         4.203036e+02        9.558991e-04                                           4.672594e-01    6.835638e-01                       0.0599051           0.310256                  0.348718                 0.876923                 6.346000e+03 
7.278954e-01    1.000000e+00    7.765687e-01   1.000000e+01         1.000000e+02         4.892111e+01        1.133635e+01         5.698000e+03         4.043139e+02        2.179403e-04                                           4.780658e+01    6.914230e+00                       310.432             5.44022                   0.22748                  3.32837                  2.582050e+05 
7.278954e-01    1.000000e+00    7.781854e-01   1.000000e+02         1.000000e+03         3.722983e+02        1.133635e+01         5.698000e+03         6.521182e+02        1.079741e-04                                           1.003241e+02    1.001619e+01                       1302.39             12.9731                   0.275834                 1.80069                  3.399610e+05 
7.278954e-01    1.000000e+00    7.809484e-01   1.000000e+03         1.000000e+04         1.591756e+03        1.133635e+01         5.698000e+03         1.535316e+03        5.389690e-05                                           1.754126e+01    4.188228e+00                       386.094             23.2358                   0.263837                 0.0514589                2.563940e+05 
